Ticker,Year,Risk_Label,3Y_Stock_CAGR,Ann_Volatility,Promoter_Hold,Promoter_Pledge,Inst_Hold_Change,Board_Indep_Pct,Director_Tenure,CEO_Duality,Auditor_Quality,Auditor_Quit,Voting_Dissent,Whistleblower_Cnt,Profit_Growth,Governance_Ratio,Leverage_Risk,Liquidity,CEO_Pay_Gap,Div_Yield,Asset_Quality,Loan_Risk,Environ_Risk,Capex_Trap
Federal Reserve Bank,2022,0.0,0.124,0.315,0.0,0.0,0.018,0.7,4.5,0.0,1.0,0.0,0.0002,0.0,0.19,0.0091,0.1577,0.369,65.0,0.018,0.028,0.66,0.0,0.0
Federal Reserve Bank,2023,0.0,0.281,0.268,0.0,0.0,0.031,0.73,5.1,0.0,1.0,0.0,0.0005,0.0,0.59,0.0128,0.1481,0.3268,70.0,0.0076,0.0236,0.7,0.0,0.0
Federal Reserve Bank,2024,0.0,0.342,0.221,0.0,0.0,0.045,0.75,3.8,0.0,1.0,0.0,0.0002,0.0,0.24,0.0135,0.1613,0.294,80.0,0.008,0.0213,0.71,0.0,0.0
SBI Bank,2020,0.0,-0.115,0.456,0.576,0.0,-0.015,0.5,2.5,0.0,1.0,0.0,0.0,1.0,4.34,0.0038,0.1306,0.427,3.0,0.0,0.0615,0.83,0.0,0.0
SBI Bank,2021,0.0,0.152,0.394,0.5763,0.0,0.0,0.5,2.8,0.0,1.0,0.0,0.0,1.0,0.41,0.0048,0.1374,0.4613,3.0,0.011,0.0498,0.87,0.0,0.0
SBI Bank,2022,0.0,0.148,0.321,0.5759,0.0,0.05,0.55,3.1,0.0,1.0,0.0,0.0,1.0,0.55,0.0067,0.1383,0.4528,3.0,0.0145,0.0397,0.9,0.0,0.0
SBI Bank,2023,0.0,0.385,0.265,0.5749,0.0,0.05,0.58,3.5,0.0,1.0,0.0,0.0001,1.0,0.59,0.0096,0.1468,0.438,3.0,0.0195,0.0278,0.92,0.0,0.0
SBI Bank,2024,0.0,0.276,0.238,0.5754,0.0,0.0,0.58,3.8,0.0,1.0,0.0,0.0001,1.0,0.22,0.0104,0.1428,0.4111,3.0,0.018,0.0224,0.91,0.0,0.0
City Union Bank,2020,0.0,-0.035,0.325,0.0,0.0,0.0,0.7,5.8,0.0,0.0,0.0,0.0001,0.0,-0.3,0.0096,0.1676,0.25,50.0,0.0039,0.0409,0.45,0.0,0.0
City Union Bank,2021,0.0,-0.052,0.291,0.0,0.0,-0.025,0.73,6.2,0.0,0.0,0.0,0.0001,0.0,0.24,0.0111,0.1952,0.29,55.0,0.0032,0.0511,0.63,0.0,0.0
City Union Bank,2022,0.0,-0.091,0.264,0.0,0.0,-0.018,0.75,4.5,0.0,0.0,0.0,0.0002,0.0,0.28,0.0123,0.2085,0.313,60.0,0.0077,0.047,0.64,0.0,0.0
City Union Bank,2023,0.0,-0.105,0.248,0.0,0.0,0.012,0.77,5.0,0.0,0.0,0.0,0.0002,0.0,0.23,0.0146,0.2269,0.296,65.0,0.0079,0.0437,0.69,0.0,0.0
City Union Bank,2024,0.0,-0.021,0.215,0.0,0.0,0.025,0.75,5.2,0.0,0.0,0.0,0.0001,2.0,0.08,0.0148,0.2375,0.306,70.0,0.01,0.0399,0.72,0.0,0.0
AU Small Finance Bank,2020,0.0,0.245,0.482,0.2915,0.0,0.05,0.55,2.5,0.0,1.0,0.0,0.0,0.0,0.77,0.018,0.22,0.14,40.0,0.0,0.017,0.53,0.0,0.0
AU Small Finance Bank,2021,0.0,0.382,0.425,0.284,0.0,0.05,0.6,3.2,0.0,1.0,0.0,0.0005,0.0,0.73,0.025,0.234,0.23,45.0,0.0,0.043,0.5,0.0,0.0
AU Small Finance Bank,2022,0.0,0.456,0.361,0.256,0.0,0.0,0.65,3.8,0.0,1.0,0.0,0.0002,0.0,-0.03,0.019,0.21,0.37,50.0,0.0007,0.0198,0.75,0.0,0.0
AU Small Finance Bank,2023,0.0,0.215,0.294,0.255,0.0,0.05,0.7,4.2,0.0,1.0,0.0,0.0008,2.0,0.26,0.018,0.236,0.38,55.0,0.0015,0.0166,0.75,0.0,0.0
AU Small Finance Bank,2024,0.0,0.084,0.258,0.2288,0.0,1.0,0.7,4.5,0.0,1.0,0.0,0.0012,3.0,0.15,0.015,0.201,0.33,65.0,0.001,0.0167,0.68,0.0,0.0
Vedanata Ltd,2020,1.0,-0.365,0.652,0.5014,0.999,-0.1,0.5,3.5,0.0,1.0,0.0,1.0,0.0,-0.13,0.09,2.8,0.72,80.0,0.045,0.0,0.0,1.0,0.102
Vedanata Ltd,2021,1.0,0.354,0.485,0.6518,0.999,0.05,0.5,4.0,0.0,1.0,0.0,0.0005,0.0,0.3,0.179,1.8,0.65,95.0,0.095,0.0,0.0,1.0,0.08
Vedanata Ltd,2022,1.0,0.552,0.421,0.6969,0.999,0.0,0.5,4.5,0.0,1.0,0.0,0.0008,0.0,0.66,0.293,0.9,0.81,110.0,0.165,0.0,0.0,1.0,0.062
Vedanata Ltd,2023,1.0,0.421,0.364,0.6811,0.999,-0.05,0.5,5.1,0.0,1.0,0.0,1.0,0.0,-0.03,0.213,1.3,0.58,105.0,0.365,0.0,0.0,1.0,0.072
Vedanata Ltd,2024,1.0,0.084,0.325,0.6195,0.999,0.0,0.5,5.5,0.0,1.0,0.0,1.0,0.0,-0.12,0.252,1.5,0.48,100.0,0.116,0.0,0.0,1.0,0.113
Hindustan Zinc,2020,1.0,-0.112,0.412,0.6492,1.0,0.0,0.5,3.2,0.0,1.0,0.0,0.0,2.0,-0.06,0.21,0.0,2.5,90.0,0.0,0.0,0.0,0.0,0.085
Hindustan Zinc,2021,1.0,0.125,0.385,0.6492,1.0,0.0,0.5,3.8,0.0,1.0,0.0,0.0,3.0,0.31,0.264,0.0,1.8,95.0,0.078,0.0,0.0,0.0,0.072
Hindustan Zinc,2022,1.0,0.22,0.321,0.6492,1.0,0.0,0.5,4.1,0.0,1.0,0.0,0.0,4.0,0.39,0.364,0.1,1.1,100.0,0.058,0.0,0.0,0.0,0.065
Hindustan Zinc,2023,1.0,0.215,0.284,0.6492,0.999,0.0,0.5,4.5,0.0,1.0,0.0,0.0,5.0,0.09,0.485,0.9,0.5,120.0,0.257,0.0,0.0,1.0,0.09
Hindustan Zinc,2024,1.0,0.084,0.258,0.6492,0.999,0.0,0.5,2.5,0.0,1.0,0.0,0.0,7.0,-0.22,0.442,0.7,0.8,130.0,0.045,0.0,0.0,1.0,0.1
NALCO,2020,1.0,-0.185,0.521,0.515,0.0,-0.05,0.5,2.5,1.0,0.0,0.0,0.0,0.0,-0.92,0.025,0.0,1.4,4.0,0.025,0.0,0.0,0.0,0.12
NALCO,2021,1.0,0.156,0.465,0.5128,0.0,0.05,0.5,1.8,1.0,0.0,0.0,0.0,0.0,8.4,0.135,0.0,1.6,5.0,0.035,0.0,0.0,0.0,0.18
NALCO,2022,1.0,0.452,0.384,0.5128,0.0,0.05,0.5,2.4,1.0,0.0,0.0,0.0,0.0,2.23,0.317,0.0,1.9,6.0,0.065,0.0,0.0,0.0,0.22
NALCO,2023,1.0,0.368,0.325,0.5128,0.0,0.0,0.5,3.2,1.0,0.0,0.0,0.0,0.0,-0.51,0.164,0.0,1.8,7.0,0.057,0.0,0.0,0.0,0.31
NALCO,2024,1.0,0.442,0.301,0.5128,0.0,1.0,0.5,4.1,1.0,0.0,0.0,0.0,0.0,0.38,0.19,0.0,1.9,7.0,0.019,0.0,0.0,0.0,0.25
Coal India,2020,1.0,-0.165,0.452,0.6613,0.0,-0.05,0.5,2.5,1.0,0.0,0.0,0.0,0.0,-0.04,0.465,0.0,1.8,3.0,0.122,0.0,0.0,1.0,0.1
Coal India,2021,1.0,-0.125,0.385,0.6613,0.0,0.0,0.5,2.8,1.0,0.0,0.0,0.0,0.0,-0.24,0.365,0.0,1.9,3.0,0.093,0.0,0.0,1.0,0.12
Coal India,2022,1.0,0.125,0.321,0.6613,0.0,0.05,0.5,3.1,1.0,0.0,0.0,0.0005,0.0,0.37,0.435,0.0,1.6,4.0,0.113,0.0,0.0,1.0,0.15
